state_id,state,capability_id,claim_id,source,reference_period,evidence_type,independence_group,quality,confidence,verification_status,notes
1,United States,4,F-US-001,BIS Triennial Central Bank Survey 2025,2025,international_statistical, BIS-FX,primary,0.99,verified,"USD on 89.2% of global FX trades; top vehicle currency."
2,Russia,4,F-RU-001,BIS/IMF macro-financial framework,2025-2026,international_statistical,BIS-IMF,primary_secondary,0.72,provisional,"Country-level international financial centrality is partly constrained and not fully observable from aggregate datasets."
3,United Kingdom,4,F-GB-001,BIS Triennial Central Bank Survey 2025,2025,international_statistical,BIS-FX,primary,0.95,verified,"UK and US sales desks dominate global FX and OTC interest-rate derivatives activity."
4,France,4,F-FR-001,BIS/IMF euro-area financial statistics,2025-2026,international_statistical,BIS-IMF,primary,0.90,provisional,"Euro-area monetary capability is institutionally shared; national score therefore does not equal independent currency reserve power."
5,China,4,F-CN-001,BIS Triennial Central Bank Survey 2025; IMF COFER 2025Q4,2025,international_statistical,BIS-IMF,primary,0.91,verified,"CNY 8.5% of FX turnover; RMB 1.95% of global reserves in 2025Q4."
6,India,4,F-IN-001,BIS/IMF macro-financial datasets,2025-2026,international_statistical,BIS-IMF,primary,0.87,provisional,"Growing financial and payments capability; international monetary centrality remains below reserve-currency level."
7,Pakistan,4,F-PK-001,IMF macro-financial datasets,2025-2026,international_statistical,IMF,primary,0.70,provisional,"External financing and financial-depth constraints are material."
8,North Korea,4,F-KP-001,Internationally limited IMF/BIS country coverage,2025-2026,evidence_gap,coverage,secondary,0.38,evidence_limited,"No sufficiently comparable public dataset for a high-confidence international financial capability estimate."
9,Israel,4,F-IL-001,BIS/IMF macro-financial datasets,2025-2026,international_statistical,BIS-IMF,primary,0.84,provisional,"Advanced specialized financial capability without reserve-currency centrality."
10,Switzerland,4,F-CH-001,BIS Triennial Central Bank Survey 2025; IMF COFER 2025Q4,2025,international_statistical,BIS-IMF,primary,0.95,verified,"CHF 6.4% of global FX turnover; market centrality materially exceeds reserve share."
11,Belgium,4,F-BE-001,BIS/IMF euro-area financial statistics,2025-2026,international_statistical,BIS-IMF,primary,0.86,provisional,"Strong financial and institutional integration through the euro area."
12,Taiwan,4,F-TW-001,Taiwan financial statistics; BIS/IMF framework,2025-2026,national_and_international,TW-BIS-IMF,primary_secondary,0.88,provisional,"Advanced financial and payments capability with institutional constraints on international monetary centrality."
