state_id,state,capability_id,claim_id,source,reference_period,evidence_type,independence_group,quality,confidence,verification_status,notes
1,United States,7,R-US-001,IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025,2024-2026,international_statistical,IEA,primary,0.94,verified,"Large domestic energy production, diversified system and high infrastructure capacity; critical-mineral exposure remains material."
2,Russia,7,R-RU-001,IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025,2024-2026,international_statistical,IEA,primary,0.91,verified,"Very large domestic resource base; diversification and export-route concentration remain relevant resilience dimensions."
3,United Kingdom,7,R-GB-001,IEA World Energy Statistics July 2026,2024-2026,international_statistical,IEA,primary,0.91,verified,"Diversified access and high infrastructure resilience with meaningful import dependence."
4,France,7,R-FR-001,IEA World Energy Statistics July 2026,2024-2026,international_statistical,IEA,primary,0.93,verified,"Strong electricity-system capability and diversified energy access."
5,China,7,R-CN-001,IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025,2024-2026,international_statistical,IEA,primary,0.91,verified,"Large integrated energy system and major critical-mineral refining role, alongside substantial import exposure."
6,India,7,R-IN-001,IEA World Energy Statistics July 2026,2024-2026,international_statistical,IEA,primary,0.88,verified,"Large and diversifying energy system with continuing import dependence."
7,Pakistan,7,R-PK-001,IEA World Energy Statistics July 2026,2024-2026,international_statistical,IEA,primary,0.76,provisional,"Material structural vulnerabilities in energy imports and system resilience."
8,North Korea,7,R-KP-001,IEA World Energy Statistics July 2026; limited country coverage,2024-2026,evidence_gap,IEA-coverage,secondary,0.48,evidence_limited,"Publicly comparable country-level evidence is limited; provisional score should not be treated as precise measurement."
9,Israel,7,R-IL-001,IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025,2024-2026,international_statistical,IEA,primary,0.87,provisional,"High infrastructure and technological resilience with limited geographic resource base and external exposure."
10,Switzerland,7,R-CH-001,IEA World Energy Statistics July 2026,2024-2026,international_statistical,IEA,primary,0.93,verified,"High system resilience and diversification despite substantial import dependence."
11,Belgium,7,R-BE-001,IEA World Energy Statistics July 2026,2024-2026,international_statistical,IEA,primary,0.91,verified,"Highly integrated European energy system with strong infrastructure and significant import dependence."
12,Taiwan,7,R-TW-001,IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025,2024-2026,international_statistical,IEA,primary,0.87,provisional,"High infrastructure capability but structural import dependence and geographic concentration of access."
