state_id,state,capability_id,source_family,measurement_components,confidence,verification_status,notes
1,United States,11,"Stanford AI Index 2026; OECD.AI Index 2026; public cyber/digital capacity evidence","AI research, compute, investment, deployment, cyber and digital infrastructure",0.97,provisional,"Composite evidence; no single index is treated as the capability itself."
2,Russia,11,"Stanford AI Index 2026; international cyber research; public technical evidence","AI research, cyber capability, information operations, digital infrastructure",0.83,provisional,"Operational cyber evidence is stronger than transparent civilian AI-system evidence."
3,United Kingdom,11,"Stanford AI Index 2026; OECD.AI Index 2026; national cyber institutions","AI research, digital infrastructure, cyber institutions, deployment",0.92,provisional,"Strong cross-source evidence."
4,France,11,"Stanford AI Index 2026; OECD.AI Index 2026; national AI/cyber institutions","AI research, public digital capacity, cyber institutions",0.90,provisional,"Strong cross-source evidence."
5,China,11,"Stanford AI Index 2026; OECD.AI Index 2026; semiconductor/AI ecosystem evidence","AI research, compute, deployment, cyber and ICT ecosystem",0.94,provisional,"Systemic score incorporates both scale and strategic uniqueness."
6,India,11,"Stanford AI Index 2026; OECD.AI Index 2026; public digital infrastructure evidence","AI research, digital public infrastructure, technical workforce",0.86,provisional,"Frontier capability and deployment evidence continue to evolve rapidly."
7,Pakistan,11,"International cyber research; public ICT/AI evidence","Cyber capability, technical workforce, digital infrastructure",0.70,provisional,"Evidence is less comprehensive than for larger AI ecosystems."
8,North Korea,11,"Public cyber research; UN and specialist reporting; limited AI evidence","Cyber capability, technical specialization, digital infrastructure",0.62,evidence_limited,"Civilian AI and digital-capacity estimates are highly uncertain."
9,Israel,11,"Stanford AI Index 2026; OECD.AI Index 2026; national cyber/technology evidence","AI research, cyber, security technology, digital infrastructure",0.91,provisional,"High capability relative to population and economic scale."
10,Switzerland,11,"Stanford AI Index 2026; OECD.AI Index 2026; WIPO innovation evidence","AI research, digital infrastructure, research institutions",0.90,provisional,"Specialized high-quality capability with smaller absolute scale."
11,Belgium,11,"OECD.AI Index 2026; European digital/cyber evidence; research indicators","Digital infrastructure, AI research, cyber capacity",0.84,provisional,"Advanced ecosystem but limited absolute scale."
12,Taiwan,11,"Stanford AI Index 2026; semiconductor/ICT evidence; public cyber evidence","AI compute ecosystem, ICT, semiconductors, cyber capacity",0.90,provisional,"Uniqueness and strategic criticality are important to the recognition score."
