state_id,state,capability_id,claim_type,claim,source,source_type,reference_period,evidence_quality,independence,verification_status,notes
1,United States,6,industrial-capability,"Diversified systemic advanced manufacturing and high-technology industrial capacity","UNIDO CIP/INDSTAT; WIPO GII 2025",international statistical/official,2024-2025,0.98,0.96,verified,"Cross-check industrial statistics with innovation and high-technology indicators."
2,Russia,6,industrial-capability,"Deep heavy, energy, aerospace, nuclear and defence-industrial capacity","UNIDO industrial statistics; WIPO GII 2025",international statistical/official,2024-2025,0.82,0.78,partially_verified,"Advanced segment estimates are affected by data opacity and sanctions-related supply-chain disruption."
3,United Kingdom,6,industrial-capability,"Advanced aerospace, pharmaceutical, chemical, defence and precision-manufacturing capacity","UNIDO; WIPO GII 2025",international statistical/official,2024-2025,0.88,0.84,verified,"Distinguish high-value industrial capability from aggregate manufacturing scale."
4,France,6,industrial-capability,"Diversified advanced industrial base including aerospace, nuclear, transport, chemicals and defence","UNIDO; WIPO GII 2025",international statistical/official,2024-2025,0.89,0.85,verified,"Strong high-value industrial specialization."
5,China,6,industrial-capability,"Systemic global manufacturing scale and unusually deep industrial supply chains","UNIDO CIP/INDSTAT; WIPO GII 2025",international statistical/official,2024-2025,0.96,0.94,verified,"UNIDO CIP is the primary cross-country industrial framework."
6,India,6,industrial-capability,"Large diversified and expanding industrial base with substantial advanced-manufacturing capability","UNIDO CIP/INDSTAT; WIPO GII 2025",international statistical/official,2024-2025,0.84,0.82,verified,"Evidence supports substantial industrial depth but not parity with the largest manufacturing systems."
7,Pakistan,6,industrial-capability,"Meaningful textile, food, chemical, engineering and defence production","UNIDO industrial statistics; WIPO GII 2025",international statistical/official,2024-2025,0.73,0.68,partially_verified,"Advanced-industry coverage is less complete than for larger industrial economies."
8,North Korea,6,industrial-capability,"Military, mining, metallurgy and basic industrial capability with limited advanced global integration","UNIDO where available; specialist open-source assessments",mixed,2024-2025,0.55,0.45,uncertain,"Public industrial data are sparse and require conservative treatment."
9,Israel,6,industrial-capability,"High-value defence, aerospace, electronics, medical and precision industrial capability","UNIDO; WIPO GII 2025",international statistical/official,2024-2025,0.84,0.80,verified,"Aggregate industrial scale understates strategic industrial specialization."
10,Switzerland,6,industrial-capability,"Highly sophisticated precision, pharmaceutical, chemical, machinery and medical manufacturing","UNIDO; WIPO GII 2025",international statistical/official,2024-2025,0.90,0.88,verified,"High capability derives from quality and complexity rather than mass output."
11,Belgium,6,industrial-capability,"Integrated European industrial capacity in chemicals, pharmaceuticals, machinery and materials","UNIDO CIP/INDSTAT; WIPO GII 2025",international statistical/official,2024-2025,0.86,0.83,verified,"Strong industrial integration and specialized manufacturing."
12,Taiwan,6,industrial-capability,"Systemically important semiconductor and advanced-electronics manufacturing ecosystem","WIPO GII 2025; specialist semiconductor-industry statistics; UNIDO where available",mixed,2024-2025,0.95,0.90,verified,"Extreme specialization and supply-chain centrality justify separate uniqueness assessment."
