state_id,state,capability_id,capability,recognition_level,Q,P,U,D,evidence_confidence,military_expenditure_usd_billion_2025,primary_sources,reference_date,notes
1,United States,2,Conventional Military Power,4,0.99,0.99,0.99,0.99,0.99,954,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 4. Spending is an input, not the capability itself; assessment also reflects force structure, global deployment, logistics, advanced systems, sustainment and operational reach."
2,Russia,2,Conventional Military Power,4,0.96,0.99,0.95,0.96,0.91,190,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 4. Assessment reflects very large force structure, sustained wartime mobilization and operational experience, deep-strike and air-defence capabilities, while recognizing significant equipment and readiness uncertainty."
3,United Kingdom,2,Conventional Military Power,3,0.94,0.98,0.88,0.91,0.88,89.0,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 3. Global expeditionary and high-end capabilities, nuclear-supported strategic posture excluded from this dimension, with substantial alliance-enabled reach."
4,France,2,Conventional Military Power,3,0.93,0.98,0.88,0.91,0.88,68.0,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 3. Independent expeditionary capability, substantial air and naval forces, overseas presence and defence-industrial support."
5,China,2,Conventional Military Power,4,0.96,0.99,0.94,0.94,0.90,336,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 4. Assessment reflects scale, rapid modernization, naval and air expansion, missile forces, integrated systems and growing operational reach."
6,India,2,Conventional Military Power,3,0.90,0.98,0.82,0.84,0.84,92.1,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 3. Large force structure, substantial air and naval capability, regional reach and growing indigenous defence-industrial capacity."
7,Pakistan,2,Conventional Military Power,2,0.82,0.98,0.72,0.72,0.72,11.9,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 2. Significant regional conventional capability and operational experience, with more limited global reach and resource base."
8,North Korea,2,Conventional Military Power,2,0.76,0.99,0.74,0.63,0.62,,"IISS Military Balance 2026",2025-12-31,"Provisional Level 2. Large standing force and substantial artillery, missile and asymmetric capacity; public evidence on readiness, sustainment and actual effectiveness is limited."
9,Israel,2,Conventional Military Power,3,0.93,0.99,0.90,0.86,0.82,48.3,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 3. High-end air, intelligence, missile-defence, precision-strike and integrated operational capabilities with extensive recent combat experience."
10,Switzerland,2,Conventional Military Power,1,0.65,0.96,0.50,0.45,0.82,7.6,"SIPRI Military Expenditure Database 2026; IISS Military Balance 2026",2025-12-31,"Provisional Level 1. National defence capability with substantial mobilization tradition and geographic defensive advantages, but limited expeditionary and high-end force scale."
11,Belgium,2,Conventional Military Power,1,0.62,0.96,0.45,0.50,0.82,14.5,"SIPRI Military Expenditure Database 2026; IISS Military Balance 2026",2025-12-31,"Provisional Level 1. National capability enhanced by NATO interoperability and specialized contributions, but limited independent force scale and strategic reach."
12,Taiwan,2,Conventional Military Power,2,0.86,0.99,0.78,0.80,0.80,18.2,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,"Provisional Level 2. Strong territorial-defence capability, advanced air and naval systems and significant mobilization requirements; recognition is regional rather than global."
