capability_id,symbol,name,measurement_scope,primary_indicator_family,notes
1,N,Nuclear and Strategic Deterrence,"Strategic nuclear posture, survivability, command-and-control resilience, and associated strategic capabilities","Nuclear forces, delivery systems, survivability, C2, strategic doctrine","Recognition must distinguish weapons capability, peaceful nuclear capability, and legitimate nuclear-system participation. Public data are incomplete by construction."
2,M,Conventional Military Power,"Conventional force structure, readiness, logistics, technology, sustainment, and operational capacity","Force structure, defence expenditure, readiness, logistics, platforms, munitions, deployment capacity","Avoid treating expenditure as capability itself; expenditure is an input indicator."
3,E,Economic Production,"Scale, productivity, diversification, productive capacity, and macroeconomic resilience","GDP, industrial output, productivity, trade, fiscal capacity","Use multiple indicators rather than GDP alone."
4,F,Financial and Monetary Power,"Domestic financial depth and international monetary, payments, reserve, and capital-market capacity","Currency internationalization, reserves, banking depth, capital markets, payment systems","Distinguish domestic financial size from systemic international financial centrality."
5,T,Science and Technology,"Scientific research, technological capability, engineering depth, innovation, and technology deployment","R&D, publications, patents, high-technology output, frontier research, engineering capacity","Indicators must distinguish quantity from technological quality and strategic relevance."
6,I,Advanced Industrial Capacity,"Ability to design, manufacture, scale, maintain, and upgrade advanced industrial systems","Manufacturing, machine tools, semiconductors, aerospace, chemicals, advanced materials, industrial supply chains","Industrial capability is broader than manufacturing output."
7,R,Energy and Resource Security,"Reliable access to energy and strategic resources together with resilience to disruption","Energy production, imports, reserves, grids, refining, critical minerals, diversification","Security depends on both resource endowment and resilience/diversification."
8,H,Food, Water and Humanitarian Resilience,"Capacity to sustain populations and absorb food, water, health, and humanitarian shocks","Food production, water security, health capacity, strategic reserves, emergency response","Humanitarian resilience is not equivalent to agricultural output alone."
9,L,Infrastructure and Logistics,"Physical and digital infrastructure supporting movement, production, communication, and recovery","Ports, rail, roads, airports, electricity, telecommunications, logistics networks","Network topology and redundancy matter alongside physical stock."
10,D,Diplomatic and Institutional Power,"Capacity to shape international institutions, coalitions, negotiations, norms, and crisis management","Diplomatic network, treaty participation, institutions, mediation, alliance connectivity","Do not reduce diplomacy to number of embassies."
11,A,Information, Cyber and Artificial Intelligence Capacity,"Information infrastructure, cyber capability, AI research and deployment, and digital-system resilience","AI compute and research, cyber institutions, digital infrastructure, information systems","Separate defensive resilience, offensive capability, research capacity, and civilian digital capacity where evidence permits."
12,S,Civilizational and Social Resilience,"Social cohesion, institutional legitimacy, demographic resilience, adaptive capacity, and continuity under stress","Demographics, education, social indicators, institutional trust, crisis adaptation, continuity measures","Avoid subjective civilizational ranking; operationalize resilience through observable indicators."
