state_id,capability_id,claim_id,evidence_type,source,reference_date,independence,quality,confidence,summary,verification_status
1,3,E-US-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.98,0.98,"US remains the largest nominal economy and a highly diversified high-productivity production system.",corroborated
2,3,E-RU-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.90,0.76,"Russia has large output and industrial/resource capacity but weaker diversification and resilience.",corroborated
3,3,E-UK-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.96,0.88,"UK has advanced high-productivity and diversified production with major international integration.",corroborated
4,3,E-FR-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.96,0.88,"France has large diversified output across services, industry and agriculture.",corroborated
5,3,E-CN-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.97,0.90,"China combines systemic scale with broad manufacturing and productive capacity.",corroborated
6,3,E-IN-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.96,0.86,"India combines large scale with rapid growth and increasing diversification, while productivity remains below advanced-economy levels.",corroborated
7,3,E-PK-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.88,0.72,"Pakistan has a substantial domestic economy but weaker macroeconomic resilience and lower productivity.",corroborated
8,3,E-KP-2025-01,external estimate required,No comparable IMF WEO country series,2025-01-01,low,0.35,0.35,"IMF WEO reports no comparable DPRK GDP series; provisional scoring is explicitly evidence-constrained.",pending_independent_estimate
9,3,E-IL-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.93,0.82,"Israel is a small, high-productivity and technology-intensive economy.",corroborated
10,3,E-CH-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.97,0.92,"Switzerland combines small scale with exceptionally high productivity, diversification and resilience.",corroborated
11,3,E-BE-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; World Bank WDI,2025-01-01,high,0.96,0.88,"Belgium is a highly open, diversified advanced economy integrated into European production networks.",corroborated
12,3,E-TW-2025-01,macroeconomic database,IMF World Economic Outlook April 2026; IMF DataMapper,2025-01-01,high,0.94,0.90,"Taiwan has high productivity and advanced export/manufacturing capacity despite modest aggregate GDP scale.",corroborated
