state_id,state,capability_id,capability,Q,P,U,D,evidence_confidence,R,food_system,water_security,humanitarian_health,reserve_response,notes
1,United States,8,Food Water and Humanitarian Resilience,0.95,0.97,0.90,0.95,0.94,4,highly diversified food system,high infrastructure and adaptive capacity,strong health and emergency institutions,high logistics and reserve capacity,provisional composite
2,Russia,8,Food Water and Humanitarian Resilience,0.90,0.97,0.88,0.91,0.86,3,large agricultural base,high freshwater endowment but regional variation,substantial state capacity,large territory and strategic reserves,provisional composite
3,United Kingdom,8,Food Water and Humanitarian Resilience,0.88,0.96,0.82,0.88,0.89,3,high-capacity but import-exposed food system,strong institutions but localized water stress,high health capacity,strong emergency institutions,provisional composite
4,France,8,Food Water and Humanitarian Resilience,0.91,0.97,0.84,0.92,0.90,3,major diversified agricultural producer,strong water and infrastructure institutions,high health capacity,high emergency and logistics capacity,provisional composite
5,China,8,Food Water and Humanitarian Resilience,0.93,0.98,0.94,0.91,0.88,3,very large food system and strategic grain capacity,major regional water-stress heterogeneity,large public-health and emergency system,substantial reserves and logistics,provisional composite
6,India,8,Food Water and Humanitarian Resilience,0.84,0.96,0.82,0.78,0.82,3,large agricultural system but climate and price exposure,substantial regional water stress,large health system with uneven capacity,large domestic logistics and public-distribution institutions,provisional composite
7,Pakistan,8,Food Water and Humanitarian Resilience,0.68,0.93,0.65,0.61,0.69,2,large agricultural base with vulnerability to shocks,high water and climate exposure,health capacity uneven,material but constrained response capacity,provisional composite
8,North Korea,8,Food Water and Humanitarian Resilience,0.48,0.94,0.60,0.43,0.48,1,structural food insecurity and limited diversification,water and infrastructure constraints,limited externally observable health resilience,constrained logistics and emergency capacity,low-confidence evidence
9,Israel,8,Food Water and Humanitarian Resilience,0.86,0.98,0.88,0.87,0.84,3,high-technology agriculture and diversified supply,strong desalination and water-management capacity,high health and emergency capacity,high crisis-response capacity,provisional composite
10,Switzerland,8,Food Water and Humanitarian Resilience,0.90,0.98,0.80,0.90,0.91,3,high-value but import-dependent food system,strong water institutions and infrastructure,high health capacity,high emergency preparedness,provisional composite
11,Belgium,8,Food Water and Humanitarian Resilience,0.84,0.97,0.78,0.86,0.88,2,advanced but trade-integrated food system,high infrastructure with localized flood/water exposure,high health capacity,strong institutional response capacity,provisional composite
12,Taiwan,8,Food Water and Humanitarian Resilience,0.82,0.98,0.86,0.81,0.80,2,advanced agricultural and food-processing system but import exposure,water and drought exposure with strong infrastructure response,high health capacity,high disaster-response capability,provisional composite
