state_id,state,capability_id,indicator,source,reference_period,evidence_type,confidence,verification_status,notes
1,United States,5,"Nature Index high-quality research output","Nature Index 2025 Research Leaders",2024,independent bibliometric,0.99,verified,"US ranked first in Nature & Science country table and second in natural sciences; use as research-output component, not total capability."
2,Russia,5,"Nature Index physical-science research output","Nature Index 2025 Research Leaders",2024,independent bibliometric,0.78,verified,"Russia appears in the leading physical-sciences country table; broader capability requires additional indicators."
3,United Kingdom,5,"Nature Index high-quality research output","Nature Index 2025 Research Leaders",2024,independent bibliometric,0.94,verified,"UK ranked among leading countries in Nature & Science and natural sciences."
4,France,5,"Nature Index high-quality research output","Nature Index 2025 Research Leaders",2024,independent bibliometric,0.91,verified,"France ranked among leading countries in Nature & Science and natural sciences."
5,China,5,"Nature Index high-quality research output","Nature Index 2025 Research Leaders",2024,independent bibliometric,0.99,verified,"China ranked first in Nature & Science and natural-science research output."
6,India,5,"Nature Index natural-science research output","Nature Index 2025 Research Leaders",2024,independent bibliometric,0.90,verified,"India ranked sixth in the natural-sciences country table."
7,Pakistan,5,"Research and innovation evidence","WIPO Global Innovation Index 2025; supplementary national sources required",2025,mixed,0.68,pending_crosscheck,"Publicly measurable capability exists but the frontier-science evidence base is thinner than for leading research systems."
8,North Korea,5,"Strategic technology evidence","Open-source specialist literature; supplementary national sources unavailable",2025,open-source,0.55,uncertain,"Broad scientific capability is difficult to verify independently; specialized strategic capabilities should not be generalized."
9,Israel,5,"Innovation and high-tech capability","WIPO Global Innovation Index 2025; supplementary national sources required",2025,mixed,0.92,pending_crosscheck,"High innovation intensity and specialized frontier technology capability; final score should integrate R&D and research indicators."
10,Switzerland,5,"Innovation and high-quality research","WIPO Global Innovation Index 2025; Nature Index 2025",2024-2025,mixed,0.96,verified,"WIPO ranks Switzerland first in GII 2025; Nature Index also places Switzerland among leading research countries."
11,Belgium,5,"Innovation and research capability","WIPO Global Innovation Index 2025; supplementary national sources required",2025,mixed,0.85,pending_crosscheck,"Strong innovation ecosystem; country-level frontier-science components require further indicator collection."
12,Taiwan,5,"Advanced technology and innovation capability","WIPO Global Innovation Index 2025; supplementary national sources required",2025,mixed,0.92,pending_crosscheck,"Highly specialized technology ecosystem; semiconductor capability should be measured separately in the industrial-capacity dimension."
