state_id,state,capability_id,claim,evidence_source,reference_period,evidence_quality,evidence_confidence,verification_status,notes
1,United States,9,"High-capacity diversified logistics and infrastructure system","World Bank Logistics Performance Index 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.93,provisional,"LPI captures customs, infrastructure, shipments, competence, tracking and timeliness; broader infrastructure components require corroboration."
2,Russia,9,"Large territorial transport and logistics network with significant geographic constraints","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,medium,0.82,provisional,"Physical scale and redundancy are not fully represented by LPI."
3,United Kingdom,9,"Highly developed multimodal and digital logistics network","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.90,provisional,"Strong logistics performance and international connectivity."
4,France,9,"Dense multimodal European infrastructure and logistics system","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.90,provisional,"LPI infrastructure score 3.8 in 2023."
5,China,9,"Very large integrated infrastructure and logistics system","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.91,provisional,"LPI infrastructure score 3.8 in 2023; aggregate scale additionally considered."
6,India,9,"Rapidly expanding infrastructure and logistics capability","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.83,provisional,"LPI and infrastructure investment evidence combined; current LPI score 3.4."
7,Pakistan,9,"Material corridor infrastructure with significant network constraints","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,medium,0.67,provisional,"LPI score 2.5; resilience and redundancy require further evidence."
8,North Korea,9,"Infrastructure and logistics capability is evidence-constrained","World Bank LPI coverage; international development and transport evidence",2023-2026,low,0.45,evidence_limited,"No comparable LPI observation; provisional score must not be interpreted as precise measurement."
9,Israel,9,"High-quality transport and digital infrastructure with concentration risks","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.80,provisional,"LPI score 3.4; small geographic scale and exposure structure considered separately."
10,Switzerland,9,"Exceptionally strong logistics and infrastructure capability","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.93,provisional,"LPI score 4.1 and infrastructure score 4.4 in 2023."
11,Belgium,9,"Highly connected European logistics hub","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.91,provisional,"LPI score 4.0 and infrastructure score 4.1 in 2023."
12,Taiwan,9,"High-quality infrastructure and logistics with island concentration risks","World Bank LPI 2023; World Bank Global Economic Prospects 2026",2023-2026,high,0.84,provisional,"LPI score 3.9 and infrastructure score 3.8 in 2023; resilience adjustment remains provisional."
