state_id,state,capability_id,source_family,measurement_components,confidence,verification_status,notes
1,United States,12,"UNDP Human Development Report 2025; demographic and institutional indicators","human development, health, education, demographic resilience, institutional adaptation",0.86,provisional,"Social cohesion and polarization require separate treatment; no cultural superiority inference."
2,Russia,12,"UNDP Human Development Report 2025; demographic indicators; institutional evidence","human development, demographics, institutional continuity, adaptation",0.72,provisional,"State continuity is not treated as a direct proxy for social cohesion."
3,United Kingdom,12,"UNDP Human Development Report 2025; demographic and institutional indicators","human development, education, health, institutions, demographic resilience",0.86,provisional,"Resilience includes both strengths and measurable social pressures."
4,France,12,"UNDP Human Development Report 2025; demographic and institutional indicators","human development, education, health, institutions, demographic resilience",0.86,provisional,"Resilience includes both strengths and measurable social pressures."
5,China,12,"UNDP Human Development Report 2025; demographic indicators; public institutional evidence","human development, education, health, demographic adaptation, institutional capacity",0.82,provisional,"Demographic transition is treated as a resilience constraint, not a civilizational judgment."
6,India,12,"UNDP Human Development Report 2025; demographic and human-capital indicators","human development, education, health, demographic profile, adaptive capacity",0.78,provisional,"Large heterogeneity requires later subnational robustness analysis."
7,Pakistan,12,"UNDP Human Development Report 2025; demographic and human-development indicators","human development, health, education, demographic resilience",0.68,provisional,"Evidence confidence lower because resilience is difficult to observe directly."
8,North Korea,12,"UNDP/UN data where available; specialist demographic and humanitarian evidence","humanitarian conditions, demographics, institutional continuity",0.42,evidence_limited,"Major measurement gaps; no inference from regime survival to population welfare."
9,Israel,12,"UNDP Human Development Report 2025; demographic, education, health and institutional indicators","human capital, health, education, demographic adaptation, crisis response",0.82,provisional,"Current conflict conditions make time-sensitive resilience measures important."
10,Switzerland,12,"UNDP Human Development Report 2025; demographic and institutional indicators","human development, education, health, institutions, adaptive capacity",0.92,provisional,"High-confidence evidence across core human-development indicators."
11,Belgium,12,"UNDP Human Development Report 2025; demographic and institutional indicators","human development, health, education, institutions, demographic resilience",0.90,provisional,"High-confidence evidence across core human-development indicators."
12,Taiwan,12,"Human-development, demographic, disaster-resilience and institutional evidence","human capital, education, health, disaster adaptation, demographic resilience",0.87,provisional,"Formal international statistical coverage is less complete than for UN member States."
